Individual,Condition,Trial,EMG_thresh,I_flexion,I_extension,Ratio_I_ext_flex,t_on_flex,t_on_ext,Ratio_t_on_ext_flex
4,Sham,2,0.0123411536476325,0.00160816066,0.01172379442,7.29018854372423,0.541666666666667,0.777985074626866,1.43628013777268
4,Sham,3,0.0118332909338348,0.00124614679,0.00890437637,7.14552767094156,0.523391812865497,0.871794871794872,1.66566394499355
4,1wk Post-op,1,0.0053126111160347,0.000983159763,0.000537952842,0.547167268479843,0.610932475884244,0.685968819599109,1.12282264681749
4,1wk Post-op,2,0.00549406123715895,0.000236273947,0.00011228536,0.475233775986313,0.560126582278481,0.266666666666667,0.47608286252354
4,1wk Post-op,3,0.00537263880740913,0.000148699636,0.000113590565,0.763892690362739,0.389408099688474,0.277083333333333,0.71155
4,3mo Post-op,1,0.00671266995204204,0.004177771748,0.009806165626,2.34722388332834,0.651933701657459,0.955423476968796,1.46552245196061
4,3mo Post-op,2,0.00699331991645373,0.002055086831,0.00144568319,0.703465745676806,0.656675749318801,0.758039816232772,1.15435938820509
4,3mo Post-op,3,0.00674581019118844,0.008450771905,0.017738567941,2.09904706225768,0.616187989556136,0.925531914893617,1.50202848900108
4,6mo Post-op,1,0.00507089621391924,0.001706776456,0.000882489972,0.517050706258395,0.755627009646302,0.868421052631579,1.14927211646137
4,6mo Post-op,2,0.00492996974958952,0.004064553501,0.001751731049,0.430977485858907,0.560747663551402,0.916666666666667,1.63472222222222
4,6mo Post-op,3,0.00486983822092459,0.007702442314,0.001347241795,0.17491098797991,0.806748466257669,0.855855855855856,1.06087075668825
4,Post-mortem,1,0.00520795672351971,0.011221924643,0.00926591329999999,0.825697337557856,0.779005524861878,0.96759941089838,1.24209569767806
4,Post-mortem,2,0.0051082536404098,9.5463846e-05,6.6635371e-05,0.698016828276539,0.222811671087533,0.131229235880399,0.588969308653694
4,Post-mortem,3,0.00566165223369061,6.1326563e-05,1.5540497e-05,0.253405640880282,0.154450261780105,0.0319303338171263,0.206735381663428
5,Pre-op,1,0.0444287716640058,0.001354599319,0.0058808509548,4.34139518034115,0.10838445807771,0.151372549019608,1.39662597114317
5,Pre-op,2,0.0447819908500185,0.0016623806892,0.0071460953813,4.29871173776626,0.159919028340081,0.243633276740238,1.52347897100857
5,Pre-op,3,0.0445162565359331,0.0020364783345,0.0079332014573,3.89554915606199,0.262,0.204231082180635,0.779507947254331
5,1wk Post-op,1,0.0109190177739449,0.00072010827,0.00118083367,1.63980017893698,0.567741935483871,0.660592255125285,1.16354317664113
5,1wk Post-op,2,0.01125982601666,0.00354921209,0.00546180629,1.53887853177013,0.523364485981308,0.948275862068966,1.8118842364532
5,1wk Post-op,3,0.0118849288930746,0.00185928956,0.00217185723,1.16811134571207,0.512269938650307,0.813483146067416,1.58799703962861
5,Post-mortem,1,0.00543954679753429,0.005710431639,0.001976999681,0.346208449024741,0.604904632152589,0.589970501474926,0.975311594780621
5,Post-mortem,2,0.00481093453768346,0.000209056898,5.244956e-05,0.250886531378649,0.525198938992042,0.0897959183673469,0.170975056689342
5,Post-mortem,3,0.00542795602007633,0.004720869962,0.002453083748,0.519625358831267,0.602094240837696,0.81140350877193,1.3476353928299
6,Pre-op,1,0.220757758320753,0.007217101101,0.007160644084,0.992177327681862,0.3601108033241,0.449704142011834,1.24879380974056
6,Pre-op,2,0.0758290331149765,0.0015537643276,0.011486763523,7.39286088562921,0.241477272727273,0.940425531914894,3.89446808510638
6,Pre-op,3,0.0342491058486295,0.0007275463514,0.0041187480031,5.66114859235345,0.274869109947644,0.628260869565217,2.28567287784679
6,Sham,1,0.0132863111526864,2.831244e-05,0.00319480489,112.841029950086,0.0638297872340425,0.92156862745098,14.437908496732
6,Sham,2,0.0121911065024549,9.435701e-05,0.00611540952,64.8113957828889,0.145833333333333,0.972093023255814,6.66578073089701
6,Sham,3,0.0120661170346917,8.071725e-05,0.00420944033,52.1504428111711,0.131914893617021,0.939130434782609,7.11921458625526
6,1wk Post-op,1,0.0047985018891228,3.287493e-05,0.000129531266,3.94012294474848,0.133333333333333,0.555944055944056,4.16958041958042
6,1wk Post-op,2,0.00523589857366819,0.00016261723,0.000131259019,0.807165507615644,0.40377358490566,0.423076923076923,1.04780733285406
6,1wk Post-op,3,0.00491594108813511,0.000428025385,0.00012799356,0.299032637982441,0.498181818181818,0.342105263157895,0.686707645024971
6,3mo Post-op,1,0.00705936882423912,0.00355321823,0.001522064862,0.428362336191211,0.552727272727273,0.878186968838527,1.58882510809602
6,3mo Post-op,2,0.00645206638446616,0.000444791059,0.000334071548,0.751075232382313,0.713793103448276,0.650137741046832,0.910820989872373
6,3mo Post-op,3,0.00665304042813767,0.00266167036,0.000939401718,0.352936912142644,0.51864406779661,0.793650793650794,1.53024172632016
6,6mo Post-op,1,0.00448082078519774,0.006312431119,0.000954474344,0.15120550640578,0.913725490196078,0.716475095785441,0.78412510482956
6,6mo Post-op,2,0.00538611274214151,0.003271797418,0.019738982055,6.03306975743814,0.534615384615385,0.989690721649485,1.85122005488393
6,6mo Post-op,3,0.00482848949641605,0.012911691473,0.004142972379,0.320869840149409,0.644444444444444,0.976027397260274,1.51452527161077
6,Post-mortem,1,0.00555612479269963,6.544726e-06,8.823e-06,1.34810838528611,0.0350877192982456,0.0410094637223975,1.16876971608833
6,Post-mortem,2,0.00482206519139264,1.0334868e-05,5.632604e-06,0.545009766936549,0.0594405594405594,0.0279503105590062,0.470222871757399
